Cantidad de simbolos = 4153
Longitud media = 9.394061652902844
Rendimiento = 0.9912673261159609
Redundancia = 0.008732673884039088

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
felicísima				1011111101001
Leonela,				101111110101
tenían				101111110110
fácil				101111110111
soldados,				1011111110000
perdió				1011111110001
imaginación				101111111001
hijo				101111111010
Gran				101111111011
Que				1011111111000
reino				1011111111001
entender				101111111101
-preguntó				101111111110
natural				101111111111
sí				1100000000000
abrazada				1100000000001
miró				110000000001
estimar				1100000000100
criados				1100000000101
leer				110000000011
vivos				1100000001000
viene				1100000001001
muerte;				110000000101
volvió				1100000001100
esposa,				1100000001101
entendió				110000000111
cayó				1100000010000
Fernando-,				1100000010001
ventana				1100000010010
haberla				1100000010011
Alicante,				1100000010100
comparación,				1100000010101
alma.				1100000010110
alma;				1100000010111
satisfecho				1100000011000
advirtiese				1100000011001
sano				1100000011010
entonces,				1100000011011
tuve				1100000011100
regalo				1100000011101
durmiendo				110000001111
aquí,				1100000100000
ellas,				1100000100001
mañana,				1100000100010
gravedad				1100000100011
diré				1100000100100
presto				1100000100101
anda				1100000100110
venturoso				1100000100111
lado,				1100000101000
llamada				1100000101001
solo,				1100000101010
parió,				1100000101011
Pues				1100000101100
quise				1100000101101
honestidad,				1100000101110
llevados				1100000101111
raras				1100000110000
haya				1100000110001
generoso				1100000110010
desierta				1100000110011
haría.				1100000110100
mano,				1100000110101
esposo,				1100000110110
preguntó				1100000110111
mejores				1100000111000
casado				1100000111001
puerto				1100000111010
ciudades,				1100000111011
quedaré				1100000111100
principio				1100000111101
puerta				110000011111
descubrió				1100001000000
tío				1100001000001
heridos,				1100001000010
comenzado				1100001000011
quedarse				1100001000100
aposento;				1100001000101
alcanzaba				1100001000110
solas				1100001000111
esperanzas				1100001001000
San				1100001001001
Perdióse				1100001001010
profundo				1100001001011
azul,				1100001001100
podrán				1100001001101
hablo				1100001001110
opinión				1100001001111
desventura;				1100001010000
Cardenio.				1100001010001
incomparable				1100001010010
hambre,				1100001010011
laberinto				1100001010100
paz,				1100001010101
hacer,				1100001010110
ello,				1100001010111
Uchalí				1100001011000
pecho.				1100001011001
Aguilar,				1100001011010
Viendo				1100001011011
decirle,				1100001011100
seguro				1100001011101
saber,				110000101111
segura				1100001100000
encantamento,				1100001100001
Fernando;				1100001100010
quisiste				1100001100011
contento				1100001100100
padres,				1100001100101
Porque				1100001100110
entretanto				1100001100111
cuchillada				1100001101000
igualar				1100001101001
saben				1100001101010
traído				1100001101011
suspirar				1100001101100
