Cantidad de simbolos = 4153
Longitud media = 9.339847443736884
Rendimiento = 0.9970212503081027
Redundancia = 0.0029787496918972645

Diccionario de Codificación por Huffman

SIMBOLO				CODIFICACION
decir,				1000001010011
Sólo				1010111110110
decir:				1100001011101
manos,				1011000111011
pensado				1011000111110
caballero-,				1010010101100
fe				1000010001111
piadoso				1010100010011
Ella,				1001101100010
clara				1000101111001
quisiere,				1000111000001
voluntad,				1010111111011
Mas				1010110110111
mentirosos				1010111011010
crédito				1000010001000
pudo				1001101111110
Iglesia,				1011100110111
ansí				1011100100111
o,				1010010010011
necesidad				1001001111001
-Digo,				1011101100100
dél				0111110000111
reinos,				1001100100010
contraria,				1011101011100
verdaderamente				1010101111011
iguala				1001100110100
llegué				1011010010010
levantaron				1000000010001
quieras,				0110111111011
quedar				1001010100101
concluir				1001000010000
recelo				1001001110010
pudiesen				1000000011001
tuya,				1001000001000
embozada,				1010011000111
levantarse				1000000110011
padece				1000000110010
seis				1010100101100
quisiere				1010010111111
-Por				1000100011001
puta				0111110101110
liga				1010111001101
quería				1011011110111
amarillo,				1010001011101
contrario.				1010001011010
siglos.				1100001111110
recogió				1010110011010
caballería				0111101110001
Cautivaron				1011111111111
éstos				1001001101111
ventero-				1100001111101
salga				1001011111101
ladrón,				1001000000101
basta				0110110111111
menor				1000001101110
Juan,				1001010100000
El,				1011110000101
arrodillada				1011110001000
liberal				1010100111011
queda				1000001010101
corría				1100001100101
mesmos				1010001101010
servido				1000111100101
batalla,				1010000111111
tenemos				1011111100000
ventera				1010001101101
profesión,				1010001101000
hallarse				1001101110011
andaba				1010001101001
fuerzas,				1001101001101
parece.				1001101001100
faltado				1011111100011
Era				1000111000110
querría				1000111010110
previlegios				1000111010111
discreto,				1011110111001
Luscinda.				0111101001011
revés				1011110101111
condición				1000000111100
donaire				1011000011000
pie				1011000011001
pasaron				1011010010100
-En				1011010010111
boca,				1010001000100
boca.				1010001000101
fabricador				1011110011010
guerra.				1011110011011
miedo,				1010001000000
aventuras				1010001000001
libertad				1011100000010
defensa				1011110000010
hallé				1011110000011
podían				1011100000011
arte				1010001000111
vestida				1000100101111
Andrea				1011011000011
buscando				1010010101010
faltaba				1000100010100
pusiese				1000111101110
vos,				1100001101111
determinado				1100010001001
siguiese				0110110111100
daños				0110110111101
juicio.				1001011111010
plática				1001011111100
marido				1001011111111
grandísimo				1011100100010
mirar				1001001101101
-Que				1011000101000
resolución,				1011101010010
