Cantidad de simbolos = 4153
Longitud media = 9.355229149593251
Rendimiento = 0.9953819652238401
Redundancia = 0.004618034776159852

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
hora				101111001001
haría				101111001010
vida;				101111001011
trata				1011110011000
monesterio				1011110011001
respeto,				101111001101
lágrimas				101111001110
conocido				101111001111
Dorotea.				1011110100000
cama,				1011110100001
embozo,				101111010001
consigo				101111010010
mercedes				101111010011
libertad,				1011110101000
determinación				1011110101001
verdadera				101111010101
pone				101111010110
dineros,				101111010111
dineros				1011110110000
Estas				1011110110001
espacio				101111011001
-replicó				101111011010
gigante;				101111011011
echó				1011110111000
deshonra,				1011110111001
pueda				101111011101
mostraba				101111011110
boca				101111011111
nobleza				1011111000000
escrito				1011111000001
modo				101111100001
debajo				1011111000100
caballo,				1011111000101
menoscabo				101111100011
compañía				1011111001000
testigo				1011111001001
Preguntó				101111100101
Por				101111100110
claramente				101111100111
antes,				1011111010000
cama				1011111010001
-Bien				101111101001
sintió				101111101010
prosiguió				101111101011
parte,				1011111011000
decía,				1011111011001
tanta,				101111101101
mora				101111101110
vine				101111101111
sal				1011111100000
mismo				1011111100001
ganado				101111110001
diciéndole:				101111110010
Quijote-,				101111110011
adelante,				1011111101000
promesas				1011111101001
presteza				101111110101
dejado				101111110110
lastimada				101111110111
felicísima				1011111110000
Leonela,				1011111110001
tenían				101111111001
fácil				101111111010
soldados,				101111111011
perdió				1011111111000
imaginación				1011111111001
hijo				101111111101
Gran				101111111110
Que				101111111111
reino				1100000000000
entender				1100000000001
-preguntó				110000000001
natural				110000000010
sí				110000000011
abrazada				1100000001000
miró				1100000001001
estimar				110000000101
criados				110000000110
leer				110000000111
vivos				110000001000
viene				1100000010010
muerte;				1100000010011
volvió				1100000010100
esposa,				1100000010101
entendió				1100000010110
cayó				1100000010111
Fernando-,				1100000011000
ventana				1100000011001
haberla				1100000011010
Alicante,				1100000011011
comparación,				1100000011100
alma.				1100000011101
alma;				1100000011110
satisfecho				1100000011111
advirtiese				1100000100000
sano				1100000100001
entonces,				1100000100010
tuve				1100000100011
regalo				1100000100100
durmiendo				1100000100101
aquí,				1100000100110
ellas,				1100000100111
mañana,				1100000101000
gravedad				1100000101001
diré				1100000101010
presto				1100000101011
anda				1100000101100
venturoso				1100000101101
lado,				1100000101110
llamada				1100000101111
solo,				1100000110000
parió,				1100000110001
Pues				1100000110010
quise				1100000110011
honestidad,				1100000110100
llevados				1100000110101
raras				1100000110110
haya				1100000110111
generoso				1100000111000
desierta				1100000111001
haría.				1100000111010
mano,				1100000111011
esposo,				1100000111100
preguntó				1100000111101
mejores				110000011111
casado				1100001000000
puerto				1100001000001
ciudades,				1100001000010
quedaré				1100001000011
principio				1100001000100
puerta				1100001000101
descubrió				1100001000110
tío				1100001000111
heridos,				1100001001000
comenzado				1100001001001
quedarse				1100001001010
aposento;				1100001001011
alcanzaba				1100001001100
solas				1100001001101
esperanzas				1100001001110
San				1100001001111
Perdióse				1100001010000
profundo				1100001010001
azul,				1100001010010
podrán				1100001010011
hablo				1100001010100
opinión				1100001010101
desventura;				1100001010110
Cardenio.				1100001010111
incomparable				1100001011000
hambre,				1100001011001
laberinto				1100001011010
paz,				1100001011011
hacer,				1100001011100
ello,				1100001011101
Uchalí				110000101111
pecho.				1100001100000
Aguilar,				1100001100001
Viendo				1100001100010
decirle,				1100001100011
seguro				1100001100100
saber,				1100001100101
segura				1100001100110
encantamento,				1100001100111
Fernando;				1100001101000
quisiste				1100001101001
contento				1100001101010
padres,				1100001101011
Porque				1100001101100
entretanto				1100001101101
cuchillada				1100001101110
igualar				1100001101111
saben				1100001110000
traído				1100001110001
suspirar				1100001110010
suerte,				1100001110011
tinto,				1100001110100
veces.				1100001110101
fuese.				1100001110110
objeto				1100001110111
fuese,				1100001111000
volver				1100001111001
ilustre				1100001111010
quitase				1100001111011
desgracia				1100001111100
Santa				1100001111101
repúblicas,				110000111111
discreta				1100010000000
pasó				1100010000001
eso,				1100010000010
premiar				1100010000011
silla,				1100010000100
deshacer				1100010000101
Argel,				1100010000110
monja,				1100010000111
quiera				1100010001000
podido				1100010001001
¿qué				1100010001010
Muley				1100010001011
rogaron				1100010001100
gusto				1100010001101
cubrir				1100010001110
franco,				1100010001111
bien,				1100010010000
vea				1100010010001
tomar				1100010010010
ven				1100010010011
preguntar				1100010010100
inauditas				1100010010101
grave				1100010010110
aguarda,				1100010010111
vivía				1100010011000
calidad				1100010011001
temeroso				1100010011010
elegir				1100010011011
pasada				1100010011100
cristiano,				1100010011101
sustentar				110001001111
vista				1100010100000
hacerme				1100010100001
estuviese				1100010100010
debía				1100010100011
sonetos				1100010100100
descuido				1100010100101
derramar				1100010100110
De				1100010100111
cruel				1100010101000
vengarse				1100010101001
cola,				1100010101010
(porque				1100010101011
prerrogativa				1100010101100
vosotros				1100010101101
agua				1100010101110
justamente				1100010101111
es,				1100010110000
premio				1100010110001
es?				1100010110010
honra				1100010110011
quieres				1100010110100
esa				1100010110101
ese				1100010110110
Zoraida.				1100010110111
Zoraida;				1100010111000
luengos				1100010111001
barba				1100010111010
cuero				1100010111011
jornadas				1100010111100
Digo,				1100010111101
estima				110001011111
amigo,				1100011000000
trataba,				1100011000001
quieras				1100011000010
jornada,				1100011000011
mayores				1100011000100
hablando				1100011000101
¿Qué				1100011000110
pareció				1100011000111
asimismo				1100011001000
suma				1100011001001
movió				1100011001010
tenían.				1100011001011
acaso,				1100011001100
galas				1100011001101
puestas				1100011001110
trincheas				1100011001111
sollozos				1100011010000
Así				1100011010001
descuido;				1100011010010
presentes				1100011010011
abrió				1100011010100
fuerzas				1100011010101
procurar				1100011010110
culpa				1100011010111
volviendo				1100011011000
deseaba;				1100011011001
gana				1100011011010
voces				1100011011011
desnudez,				1100011011100
vista,				1100011011101
hecho.				110001101111
siendo				1100011100000
decir,				1100011100001
Sólo				1100011100010
decir:				1100011100011
manos,				1100011100100
pensado				1100011100101
caballero-,				1100011100110
fe				1100011100111
piadoso				1100011101000
Ella,				1100011101001
clara				1100011101010
quisiere,				1100011101011
voluntad,				1100011101100
Mas				1100011101101
mentirosos				1100011101110
crédito				1100011101111
pudo				1100011110000
Iglesia,				1100011110001
ansí				1100011110010
o,				1100011110011
necesidad				1100011110100
-Digo,				1100011110101
dél				1100011110110
reinos,				1100011110111
contraria,				1100011111000
verdaderamente				1100011111001
iguala				1100011111010
llegué				1100011111011
levantaron				1100011111100
quieras,				1100011111101
quedar				110001111111
concluir				1100100000000
recelo				1100100000001
pudiesen				1100100000010
tuya,				1100100000011
embozada,				1100100000100
levantarse				1100100000101
padece				1100100000110
seis				1100100000111
quisiere				1100100001000
-Por				1100100001001
puta				1100100001010
liga				1100100001011
quería				1100100001100
amarillo,				1100100001101
contrario.				1100100001110
siglos.				1100100001111
recogió				1100100010000
caballería				1100100010001
Cautivaron				1100100010010
éstos				1100100010011
ventero-				1100100010100
salga				1100100010101
ladrón,				1100100010110
basta				1100100010111
menor				1100100011000
Juan,				1100100011001
El,				1100100011010
arrodillada				1100100011011
liberal				1100100011100
queda				1100100011101
corría				110010001111
mesmos				1100100100000
servido				1100100100001
batalla,				1100100100010
tenemos				1100100100011
ventera				1100100100100
profesión,				1100100100101
hallarse				1100100100110
andaba				1100100100111
fuerzas,				1100100101000
parece.				1100100101001
faltado				1100100101010
Era				1100100101011
querría				1100100101100
previlegios				1100100101101
discreto,				1100100101110
Luscinda.				1100100101111
revés				1100100110000
condición				1100100110001
donaire				1100100110010
pie				1100100110011
pasaron				1100100110100
-En				1100100110101
boca,				1100100110110
boca.				1100100110111
fabricador				1100100111000
guerra.				1100100111001
miedo,				1100100111010
aventuras				1100100111011
libertad				1100100111100
defensa				1100100111101
hallé				110010011111
podían				1100101000000
arte				1100101000001
vestida				1100101000010
Andrea				1100101000011
buscando				1100101000100
faltaba				1100101000101
pusiese				1100101000110
vos,				1100101000111
determinado				1100101001000
siguiese				1100101001001
daños				1100101001010
juicio.				1100101001011
plática				1100101001100
marido				1100101001101
grandísimo				1100101001110
mirar				1100101001111
-Que				1100101010000
resolución,				1100101010001
cercen				1100101010010
-Si				1100101010011
obra.				1100101010100
ventura,				1100101010101
así:				1100101010110
sabido				1100101010111
novela				1100101011000
lugar,				1100101011001
mandó				1100101011010
refrán				1100101011011
cueros.				1100101011100
fuere				1100101011101
guerrero,				110010101111
mío				1100101100000
provecho				1100101100001
griego				1100101100010
tal,				1100101100011
armada.				1100101100100
puerto,				1100101100101
¿cómo				1100101100110
puedes				1100101100111
llaman				1100101101000
sois				1100101101001
tengo.				1100101101010
suyo,				1100101101011
queréis				1100101101100
pecho				1100101101101
silencio,				1100101101110
tienes				1100101101111
cristiano				1100101110000
nueva				1100101110001
Andalucía,				1100101110010
nuevo				1100101110011
suspiros,				1100101110100
andante				1100101110101
diligencia				1100101110110
gastador				1100101110111
sucedido.				1100101111000
ordenó				1100101111001
impertinente				1100101111010
Fue				1100101111011
atentamente				1100101111100
Volvió				1100101111101
fuerte.				110010111111
allí,				1100110000000
Quijote;				1100110000001
parecía,				1100110000010
blanco				1100110000011
camisa,				1100110000100
Hasta				1100110000101
premiados				1100110000110
admirada				1100110000111
llegue				1100110001000
cristiana,				1100110001001
faldas,				1100110001010
fuente				1100110001011
conforme				1100110001100
desgracia,				1100110001101
hagan				1100110001110
desgracia;				1100110001111
dentro				1100110010000
artificio				1100110010001
entendimiento,				1100110010010
segundo				1100110010011
mercancía,				1100110010100
sabré				1100110010101
diera				1100110010110
responder				1100110010111
dormir				1100110011000
diese				1100110011001
cuerpo.				1100110011010
capitán,				1100110011011
mío.				1100110011100
huyó				1100110011101
paradero				110011001111
